型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
{198/SM-P},ミミッキュ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/198-SM-P_minnanotoreca-10346843.webp,ミミッキュ（P）[{198/SM-P}],,https://dopa-game.jp/pokemon/dp/10346843,,,,10346843,28375,DOPA
053/050,ギラティナEX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/053-050_minnanotoreca-10333637.webp,ギラティナEX（SR）[053/050],,https://dopa-game.jp/pokemon/dp/10333637,,,,10333637,28376,DOPA
196/173,ブルーの探索,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/196-173_minnanotoreca-10240411.webp,ブルーの探索（SR）[196/173],,https://dopa-game.jp/pokemon/dp/10240411,,,,10240411,28377,DOPA
{088/087} [CP6],フシギバナEX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/088-087-CP6_minnanotoreca-10344836.webp,フシギバナEX（SR）[{088/087} [CP6]],,https://dopa-game.jp/pokemon/dp/10344836,,,,10344836,28378,DOPA
114/100,ピカチュウVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/114-100_minnanotoreca-10240106.webp,ピカチュウVMAX（HR）[114/100],,https://dopa-game.jp/pokemon/dp/10240106,,,,10240106,28379,DOPA
{140/SM-P},ポンチョを着たイーブイ/エーフィ(未開封),P,https://minnano-toreka.com/wp-content/uploads/2026/08/140-SM-P_minnanotoreca-10275023.webp,ポンチョを着たイーブイ/エーフィ(未開封)（P）[{140/SM-P}],,https://dopa-game.jp/pokemon/dp/10275023,,,,10275023,28380,DOPA
154/XY-P,ピカチュウ(未開封),P,https://minnano-toreka.com/wp-content/uploads/2026/08/154-XY-P_minnanotoreca-10298092.webp,ピカチュウ(未開封)（P）[154/XY-P],,https://dopa-game.jp/pokemon/dp/10298092,,,,10298092,28381,DOPA
063/049,ソルガレオ＆ルナアーラGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/063-049_minnanotoreca-10311951.webp,ソルガレオ＆ルナアーラGX（SR）[063/049],,https://dopa-game.jp/pokemon/dp/10311951,,,,10311951,28382,DOPA
325/SM-P,お茶会ごっこピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/325-SM-P_minnanotoreca-10312084.webp,お茶会ごっこピカチュウ（P）[325/SM-P],,https://dopa-game.jp/pokemon/dp/10312084,,,,10312084,28383,DOPA
100/95,アルセウス＆ディアルガ＆パルキアGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/100-95_minnanotoreca-10333533.webp,アルセウス＆ディアルガ＆パルキアGX（SR）[100/95],,https://dopa-game.jp/pokemon/dp/10333533,,,,10333533,28384,DOPA
105/S-P,まるのみされたピカチュウ,S-P,https://minnano-toreka.com/wp-content/uploads/2026/08/105-S-P_minnanotoreca-10239885.webp,まるのみされたピカチュウ（S-P）[105/S-P],,https://dopa-game.jp/pokemon/dp/10239885,,,,10239885,28385,DOPA
096/071,ナンジャモ,SAR,https://minnano-toreka.com/wp-content/uploads/2026/08/096-071_minnanotoreca-10239965.webp,ナンジャモ（SAR）[096/071],,https://dopa-game.jp/pokemon/dp/10239965,,,,10239965,28386,DOPA
347/190,ミュウex,SAR,https://minnano-toreka.com/wp-content/uploads/2026/08/347-190_minnanotoreca-10240223.webp,ミュウex（SAR）[347/190],,https://dopa-game.jp/pokemon/dp/10240223,,,,10240223,28387,DOPA
055/050,マオ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/055-050_minnanotoreca-10239999.webp,マオ（SR）[055/050],,https://dopa-game.jp/pokemon/dp/10239999,,,,10239999,28388,DOPA
{057/054} [sm10a],ライチュウ＆アローラライチュウGX(SA),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/057-054-sm10a_minnanotoreca-10341963.webp,ライチュウ＆アローラライチュウGX(SA)（SR）[{057/054} [sm10a]],,https://dopa-game.jp/pokemon/dp/10341963,,,,10341963,28389,DOPA
001/025,リザードン/25th,-,https://minnano-toreka.com/wp-content/uploads/2026/08/001-025_minnanotoreca-10341076.webp,リザードン/25th（-）[001/025],,https://dopa-game.jp/pokemon/dp/10341076,,,,10341076,28390,DOPA
132/106,ピカチュウex,SAR,https://minnano-toreka.com/wp-content/uploads/2026/08/132-106_minnanotoreca-10311950.webp,ピカチュウex（SAR）[132/106],,https://dopa-game.jp/pokemon/dp/10311950,,,,10311950,28391,DOPA
087/078,(PSA10)ロケット団の工作,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/087-078_minnanotoreca-10347593.webp,(PSA10)ロケット団の工作（SR）[087/078],,https://dopa-game.jp/pokemon/dp/10347593,,,,10347593,28392,DOPA
196/SM-P,ボスごっこピカチュウ フレア団(未開封),SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/196-SM-P_minnanotoreca-10239966.webp,ボスごっこピカチュウ フレア団(未開封)（SM-P）[196/SM-P],,https://dopa-game.jp/pokemon/dp/10239966,,,,10239966,28393,DOPA
191/SM-P,ボスごっこピカチュウ ロケット団(未開封),SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/191-SM-P_minnanotoreca-10239952.webp,ボスごっこピカチュウ ロケット団(未開封)（SM-P）[191/SM-P],,https://dopa-game.jp/pokemon/dp/10239952,,,,10239952,28394,DOPA
078/PCG-P,ピチュー兄弟(未開封),P,https://minnano-toreka.com/wp-content/uploads/2026/08/078-PCG-P_minnanotoreca-10326371.webp,ピチュー兄弟(未開封)（P）[078/PCG-P],,https://dopa-game.jp/pokemon/dp/10326371,,,,10326371,28395,DOPA
125/098,ロケット団のミュウツーex,SAR,https://minnano-toreka.com/wp-content/uploads/2026/08/125-098_minnanotoreca-10332045.webp,ロケット団のミュウツーex（SAR）[125/098],,https://dopa-game.jp/pokemon/dp/10332045,,,,10332045,28396,DOPA
{077/070} [S5I],バンギラスV(SA),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/077-070-S5I_minnanotoreca-10346832.webp,バンギラスV(SA)（SR）[{077/070} [S5I]],,https://dopa-game.jp/pokemon/dp/10346832,,,,10346832,28397,DOPA
