型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
-,ドン!!カード(金枠/ロシナンテ),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10343942.webp,ドン!!カード(金枠/ロシナンテ)（-）[-],,https://dopa-game.jp/one-piece/dp/10343942,,,,10343942,31524,DOPA(ワンピ)
{OP11-041},ナミ(パラレル/illust:otton),L★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP11-041_minnanotoreca-10344493.webp,ナミ(パラレル/illust:otton)（L★）[{OP11-041}],,https://dopa-game.jp/one-piece/dp/10344493,,,,10344493,31525,DOPA(ワンピ)
{OP06-022},ヤマト(未開封/金文字/漫画絵),L,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-022_minnanotoreca-10344494.webp,ヤマト(未開封/金文字/漫画絵)（L）[{OP06-022}],,https://dopa-game.jp/one-piece/dp/10344494,,,,10344494,31526,DOPA(ワンピ)
{P-074},ポートガス・D・エース(未開封/SOUTHEAST ASIAN CHAMPION CHAMPIONSHIP2023),P,https://minnano-toreka.com/wp-content/uploads/2026/08/P-074_minnanotoreca-10344496-1.webp,ポートガス・D・エース(未開封/SOUTHEAST ASIAN CHAMPION CHAMPIONSHIP2023)（P）[{P-074}],,https://dopa-game.jp/one-piece/dp/10344496,,,,10344496,31613,DOPA(ワンピ)
{P-075},モンキー・D・ルフィ(未開封/SOUTHEAST ASIAN CHAMPION CHAMPIONSHIP2023),P,https://minnano-toreka.com/wp-content/uploads/2026/08/P-075_minnanotoreca-10344497.webp,モンキー・D・ルフィ(未開封/SOUTHEAST ASIAN CHAMPION CHAMPIONSHIP2023)（P）[{P-075}],,https://dopa-game.jp/one-piece/dp/10344497,,,,10344497,31528,DOPA(ワンピ)
{OP05-051[OP06]},ボルサリーノ(パラレル/SP/illust:Ryuda){OP05-051[OP06]},SP,https://minnano-toreka.com/wp-content/uploads/2026/08/OP05-051-OP06_minnanotoreca-10344498.webp,ボルサリーノ(パラレル/SP/illust:Ryuda){OP05-051[OP06]}（SP）[{OP05-051[OP06]}],,https://dopa-game.jp/one-piece/dp/10344498,,,,10344498,31529,DOPA(ワンピ)
{OP06-035},ホーディ・ジョーンズ(パラレル/illust:SENNSU),SR★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-035_minnanotoreca-10344499.webp,ホーディ・ジョーンズ(パラレル/illust:SENNSU)（SR★）[{OP06-035}],,https://dopa-game.jp/one-piece/dp/10344499,,,,10344499,31530,DOPA(ワンピ)
{OP07-051},ボア・ハンコック(中国版/シリアル/illust:Hashimoto Q),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP07-051_minnanotoreca-10344500.webp,ボア・ハンコック(中国版/シリアル/illust:Hashimoto Q)（SR）[{OP07-051}],,https://dopa-game.jp/one-piece/dp/10344500,,,,10344500,31531,DOPA(ワンピ)
{OP06-093},(未開封/Asia)ペローナ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-093_minnanotoreca-10344501-1.webp,(未開封/Asia)ペローナ（SR）[{OP06-093}],,https://dopa-game.jp/one-piece/dp/10344501,,,,10344501,31618,DOPA(ワンピ)
{OP04-013},ペル(パラレル/illust:Denim2),SR★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-013_minnanotoreca-10344502.webp,ペル(パラレル/illust:Denim2)（SR★）[{OP04-013}],,https://dopa-game.jp/one-piece/dp/10344502,,,,10344502,31533,DOPA(ワンピ)
{OP11-010},ひばり(未開封/illust:nuisuke),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP11-010_minnanotoreca-10344503.webp,ひばり(未開封/illust:nuisuke)（SR）[{OP11-010}],,https://dopa-game.jp/one-piece/dp/10344503,,,,10344503,31534,DOPA(ワンピ)
{OP04-030},トレーボル(パラレル/illust:HISASHI HUJIWARA),R★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-030_minnanotoreca-10344504.webp,トレーボル(パラレル/illust:HISASHI HUJIWARA)（R★）[{OP04-030}],,https://dopa-game.jp/one-piece/dp/10344504,,,,10344504,31535,DOPA(ワンピ)
{OP06-090},ドクトル・ホグバック(illust:ASAKI KURODA),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-090_minnanotoreca-10344505.webp,ドクトル・ホグバック(illust:ASAKI KURODA)（R）[{OP06-090}],,https://dopa-game.jp/one-piece/dp/10344505,,,,10344505,31536,DOPA(ワンピ)
