型番,カード名,レアリティ,画像URL,画像タイトル,元URL,source,src_admin_id
172/171,"<span class=""pcg pcg-megamark""></span>バクーダEX",,https://minnano-toreka.com/wp-content/uploads/2026/07/172-171_pcg-a9557.webp,"<span class=""pcg pcg-megamark""></span>バクーダEX[172/171]",https://www.pokemon-card.com/assets/images/card_images/large/XY/035873_P_MBAKUDAEX.jpg,公式,9557
178/171,"<span class=""pcg pcg-megamark""></span>サメハダーEX",,https://minnano-toreka.com/wp-content/uploads/2026/07/178-171_pcg-a9548.webp,"<span class=""pcg pcg-megamark""></span>サメハダーEX[178/171]",https://www.pokemon-card.com/assets/images/card_images/large/XY/035879_P_MSAMEHADAEX.jpg,公式,9548
071/171,"<span class=""pcg pcg-megamark""></span>サメハダーEX",,https://minnano-toreka.com/wp-content/uploads/2026/07/071-171_pcg-a9547.webp,"<span class=""pcg pcg-megamark""></span>サメハダーEX[071/171]",https://www.pokemon-card.com/assets/images/card_images/large/XY/033623_P_MSAMEHADAEX.jpg,公式,9547
298/XY-P,"<span class=""pcg pcg-megamark""></span>サチコEX",,https://minnano-toreka.com/wp-content/uploads/2026/07/298-XY-P_pcg-a9546.webp,"<span class=""pcg pcg-megamark""></span>サチコEX[298/XY-P]",https://www.pokemon-card.com/assets/images/card_images/large/XYP/032353_P_MSACHIKOEX.jpg,公式,9546
188/S-P,サンダースVMAX,,https://minnano-toreka.com/wp-content/uploads/2026/07/188-S-P_pcg-a9526.webp,サンダースVMAX[188/S-P],https://www.pokemon-card.com/assets/images/card_images/large/S-P/039912_P_SANDASUVMAX.jpg,公式,9526
419/414,マリィのプライド,,https://minnano-toreka.com/wp-content/uploads/2026/07/419-414_pcg-a9379.webp,マリィのプライド[419/414],https://www.pokemon-card.com/assets/images/card_images/large/SI/041015_T_MARIINOPURAIDO.jpg,公式,9379
279/SM-P,サンダー,,https://minnano-toreka.com/wp-content/uploads/2026/07/279-SM-P_pcg-a6846.webp,サンダー[279/SM-P],https://www.pokemon-card.com/assets/images/card_images/large/SMP/035944_P_SANDA.jpg,公式,6846
010/190,ゴリランダーVMAX,,https://minnano-toreka.com/wp-content/uploads/2026/07/010-190_pcg-a6095.webp,ゴリランダーVMAX[010/190],https://www.pokemon-card.com/assets/images/card_images/large/S4a/038655_P_GORIRANDAVMAX.jpg,公式,6095
174/S-P,サダイジャV,,https://minnano-toreka.com/wp-content/uploads/2026/07/174-S-P_pcg-a6094.webp,サダイジャV[174/S-P],https://www.pokemon-card.com/assets/images/card_images/large/S-P/039509_P_SADAIJAV.jpg,公式,6094
006/023,マスカーニャ,,https://minnano-toreka.com/wp-content/uploads/2026/07/006-023_pcg-a6079.webp,マスカーニャ[006/023],https://www.pokemon-card.com/assets/images/card_images/large/SVAM/042708_P_MASUKANIXYA.jpg,公式,6079
117/108,ブロロン,,https://minnano-toreka.com/wp-content/uploads/2026/07/117-108_pcg-a6078.webp,ブロロン[117/108],https://www.pokemon-card.com/assets/images/card_images/large/SV3/044143_P_BURORON.jpg,公式,6078
406/SM-P,ともだちてちょう,,https://minnano-toreka.com/wp-content/uploads/2026/07/406-SM-P_pcg-a6076.webp,ともだちてちょう[406/SM-P],https://www.pokemon-card.com/assets/images/card_images/large/SMP/037200_T_TOMODACHITECHOU.jpg,公式,6076
275/XY-P,ポンチョを着たピカチュウ,,https://minnano-toreka.com/wp-content/uploads/2026/07/275-XY-P_pcg-a6074.webp,ポンチョを着たピカチュウ[275/XY-P],https://www.pokemon-card.com/assets/images/card_images/large/XYP/032311_P_PONCHOWOKITAPIKACHUU.jpg,公式,6074
085/SM-P,ロイヤルマスク,,https://minnano-toreka.com/wp-content/uploads/2026/07/085-SM-P_pcg-a6072.webp,ロイヤルマスク[085/SM-P],https://www.pokemon-card.com/assets/images/card_images/large/SMP/034074_T_ROIYARUMASUKU.jpg,公式,6072
278/XY-P,ロケット団参上!,,https://minnano-toreka.com/wp-content/uploads/2026/07/278-XY-P_pcg-a6059.webp,ロケット団参上![278/XY-P],https://www.pokemon-card.com/assets/images/card_images/large/XYP/032337_T_ROKETTODANSANJOU.jpg,公式,6059
118/131,アズサ,,https://minnano-toreka.com/wp-content/uploads/2026/07/118-131_pcg-a6049.webp,アズサ[118/131],https://www.pokemon-card.com/assets/images/card_images/large/CP4/031983_T_AZUSA.jpg,公式,6049
066/100,ハッサムV,,https://minnano-toreka.com/wp-content/uploads/2026/07/066-100_pcg-a6046.webp,ハッサムV[066/100],https://www.pokemon-card.com/assets/images/card_images/large/S3/038204_P_HASSAMUV.jpg,公式,6046
095/078,ジュペッタex,,https://minnano-toreka.com/wp-content/uploads/2026/07/095-078_pcg-a6043.webp,ジュペッタex[095/078],https://www.pokemon-card.com/assets/images/card_images/large/SV1V/043082_P_JIXYUPETTAEX.jpg,公式,6043
135/S-P,ガラル ジグザグマ,,https://minnano-toreka.com/wp-content/uploads/2026/07/135-S-P_pcg-a6037.webp,ガラル ジグザグマ[135/S-P],https://www.pokemon-card.com/assets/images/card_images/large/S-P/038644_P_GARARUJIGUZAGUMA.jpg,公式,6037
058/051,ジジーロンGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/058-051_pcg-a6021.webp,ジジーロンGX[058/051],https://www.pokemon-card.com/assets/images/card_images/large/SM1p/035629_P_JIJIRONGX.jpg,公式,6021
058/051,ジジーロンGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/058-051_pcg-a6017.webp,ジジーロンGX[058/051],https://www.pokemon-card.com/assets/images/card_images/large/SM1p/035629_P_JIJIRONGX.jpg,公式,6017
117/114,テッカグヤGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/117-114_pcg-a6013.webp,テッカグヤGX[117/114],https://www.pokemon-card.com/assets/images/card_images/large/SM4p/035677_P_TEKKAGUYAGX.jpg,公式,6013
052/050,マッシブーンGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/052-050_pcg-a6008.webp,マッシブーンGX[052/050],https://www.pokemon-card.com/assets/images/card_images/large/SM4S/035666_P_MASSHIBUNGX.jpg,公式,6008
052/050,ウツロイドGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/052-050_pcg-a6003.webp,ウツロイドGX[052/050],https://www.pokemon-card.com/assets/images/card_images/large/SM4A/035671_P_UTSUROIDOGX.jpg,公式,6003
054/051,アシレーヌGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/054-051_pcg-a6000.webp,アシレーヌGX[054/051],https://www.pokemon-card.com/assets/images/card_images/large/SM1p/035625_P_ASHIRENUGX.jpg,公式,6000
115/114,フェローチェGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/115-114_pcg-a5996.webp,フェローチェGX[115/114],https://www.pokemon-card.com/assets/images/card_images/large/SM4p/035675_P_FEROCHIEGX.jpg,公式,5996
052/051,ジュナイパーGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/052-051_pcg-a5995.webp,ジュナイパーGX[052/051],https://www.pokemon-card.com/assets/images/card_images/large/SM1p/035623_P_JUNAIPAGX.jpg,公式,5995
052/051,グソクムシャGX,,https://minnano-toreka.com/wp-content/uploads/2026/07/052-051_pcg-a5994.webp,グソクムシャGX[052/051],https://www.pokemon-card.com/assets/images/card_images/large/SM3N/035654_P_GUSOKUMUSHAGX.jpg,公式,5994
004/072,ひかるセレビィ,,https://minnano-toreka.com/wp-content/uploads/2026/07/004-072_pcg-a5989.webp,ひかるセレビィ[004/072],https://www.pokemon-card.com/assets/images/card_images/large/SM3p/034000_P_HIKARUSEREBII.jpg,公式,5989
034/070,デンリュウ,,https://minnano-toreka.com/wp-content/uploads/2026/07/034-070_pcg-a5987.webp,デンリュウ[034/070],https://www.pokemon-card.com/assets/images/card_images/large/L1-Bhg/025060_P_DENRYUU.jpg,公式,5987
056/100,プテラV,,https://minnano-toreka.com/wp-content/uploads/2026/07/056-100_pcg-a5975.webp,プテラV[056/100],https://www.pokemon-card.com/assets/images/card_images/large/S11/041860_P_PUTERAV.jpg,公式,5975
362/SM-P,エリカ,,https://minnano-toreka.com/wp-content/uploads/2026/07/362-SM-P_pcg-a5972.webp,エリカ[362/SM-P],https://www.pokemon-card.com/assets/images/card_images/large/SMP/036995_T_ERIKA.jpg,公式,5972
172/150,ゲコガシラ,,https://minnano-toreka.com/wp-content/uploads/2026/07/172-150_pcg-a5969.webp,ゲコガシラ[172/150],https://www.pokemon-card.com/assets/images/card_images/large/SM8b/036061_P_GEKOGASHIRA.jpg,公式,5969
062/073,ヤングース,,https://minnano-toreka.com/wp-content/uploads/2026/07/062-073_pcg-a5965.webp,ヤングース[062/073],https://www.pokemon-card.com/assets/images/card_images/large/SV1a/043027_P_YANGUSU.jpg,公式,5965
076/165,ゴローニャex,,https://minnano-toreka.com/wp-content/uploads/2026/07/076-165_pcg-a5961.webp,ゴローニャex[076/165],https://www.pokemon-card.com/assets/images/card_images/large/SV2a/043397_P_GORONIXYAEX.jpg,公式,5961
120/108,グルトン,,https://minnano-toreka.com/wp-content/uploads/2026/07/120-108_pcg-a5950.webp,グルトン[120/108],https://www.pokemon-card.com/assets/images/card_images/large/SV3/044146_P_GURUTON.jpg,公式,5950
123/108,ビークインex,,https://minnano-toreka.com/wp-content/uploads/2026/07/123-108_pcg-a5945.webp,ビークインex[123/108],https://www.pokemon-card.com/assets/images/card_images/large/SV3/044149_P_BIKUINEX.jpg,公式,5945
031/071,ミュウツーVSTAR,,https://minnano-toreka.com/wp-content/uploads/2026/07/031-071_pcg-a5944.webp,ミュウツーVSTAR[031/071],https://www.pokemon-card.com/assets/images/card_images/large/S10b/041712_P_MIXYUUTSUVSTAR.jpg,公式,5944
262/XY-P,ヤドランEX,,https://minnano-toreka.com/wp-content/uploads/2026/07/262-XY-P_pcg-a5939.webp,ヤドランEX[262/XY-P],https://www.pokemon-card.com/assets/images/card_images/large/XYP/032313_P_YADORANEX.jpg,公式,5939
192/172,フォクスライ,,https://minnano-toreka.com/wp-content/uploads/2026/07/192-172_pcg-a5937.webp,フォクスライ[192/172],https://www.pokemon-card.com/assets/images/card_images/large/S12a/042842_P_FUOKUSURAI.jpg,公式,5937
141/XY-P,ニンフィア,,https://minnano-toreka.com/wp-content/uploads/2026/07/141-XY-P_pcg-a5929.webp,ニンフィア[141/XY-P],https://www.pokemon-card.com/assets/images/card_images/large/XYP/031088_P_NINFIA.jpg,公式,5929
206/172,ナエトル,,https://minnano-toreka.com/wp-content/uploads/2026/07/206-172_pcg-a5926.webp,ナエトル[206/172],https://www.pokemon-card.com/assets/images/card_images/large/S12a/042856_P_NAETORU.jpg,公式,5926
100/096,カイリューEX,,https://minnano-toreka.com/wp-content/uploads/2026/07/100-096_pcg-a5924.webp,カイリューEX[100/096],https://www.pokemon-card.com/assets/images/card_images/large/XY3/035774_P_KAIRYUEX.jpg,公式,5924
