カード名,レアリティ,型番,画像URL,wp_id,source
サボ SR-SP (コミパラ),SR,OP04-083,https://minnano-toreka.com/wp-content/uploads/2026/09/OP04-083_minnanotoreca-126134.webp,32549,手動追加(カードラッシュ/版をdHashで機械照合)
ボア・ハンコック SR-SPC,SR,OP07-051,https://minnano-toreka.com/wp-content/uploads/2026/09/OP07-051_minnanotoreca-349478.webp,32551,手動追加(カードラッシュ/版をdHashで機械照合)
ルフィ太郎 SR-SPC,SR,ST18-005,https://minnano-toreka.com/wp-content/uploads/2026/09/ST18-005_minnanotoreca-520558.webp,32556,手動追加(カードラッシュ/版をdHashで機械照合)
ルフィ＆エース L-P,L,ST30-001,https://minnano-toreka.com/wp-content/uploads/2026/09/ST30-001_minnanotoreca-793190.webp,32557,手動追加(カードラッシュ/版をdHashで機械照合)
モンキー・Ｄ・ルフィ,,ST01-001,https://minnano-toreka.com/wp-content/uploads/2026/09/ST01-001_minnanotoreca-171995.webp,32558,手動追加(カードラッシュ/版をdHashで機械照合)
ナミ SR-SPC,SR,OP08-106,https://minnano-toreka.com/wp-content/uploads/2026/09/OP08-106_minnanotoreca-349482.webp,32560,手動追加(カードラッシュ/版をdHashで機械照合)
ゴムゴムの巨人 R-P,R,OP09-078,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-078_minnanotoreca-656322.webp,32561,手動追加(カードラッシュ/版をdHashで機械照合)
おナミ R-SPC,R,OP06-101,https://minnano-toreka.com/wp-content/uploads/2026/09/OP06-101_minnanotoreca-198742.webp,32564,手動追加(カードラッシュ/版をdHashで機械照合)
しらほし SR-SPC,SR,EB01-057,https://minnano-toreka.com/wp-content/uploads/2026/09/EB01-057_minnanotoreca-520532.webp,32565,手動追加(カードラッシュ/版をdHashで機械照合)
ゴール・D・ロジャー：手配書 SEC-SPC,SEC,OP09-118,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-118_minnanotoreca-676008.webp,32568,手動追加(カードラッシュ/版をdHashで機械照合)
マーシャル・D・ティーチ：手配書 SR-SPC,SR,OP09-093,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-093_minnanotoreca-349461.webp,32569,手動追加(カードラッシュ/版をdHashで機械照合)
ポートガス・D・エース,,ST15-005,https://minnano-toreka.com/wp-content/uploads/2026/09/ST15-005_minnanotoreca-744320.webp,32570,手動追加(カードラッシュ/版をdHashで機械照合)
ナミ,,OP11-054,https://minnano-toreka.com/wp-content/uploads/2026/09/OP11-054_minnanotoreca-744313.webp,32571,手動追加(カードラッシュ/版をdHashで機械照合)
モンキー・D・ルフィ,,ST10-006,https://minnano-toreka.com/wp-content/uploads/2026/09/ST10-006_minnanotoreca-315324.webp,32585,手動追加(カードラッシュ/版をdHashで機械照合)
かんこうきゃく,,SM12a 192/173,https://minnano-toreka.com/wp-content/uploads/2026/09/SM12a-192-173_minnanotoreca-91269.webp,32587,手動追加(公式/版をdHashで機械照合)
リザードン R :1ED,R,CP6 011/087,https://minnano-toreka.com/wp-content/uploads/2026/09/CP6-011-087_minnanotoreca-91467.webp,32589,手動追加(公式/版をdHashで機械照合)
シロナ,,SM5M 070/066,https://minnano-toreka.com/wp-content/uploads/2026/09/SM5M-070-066_minnanotoreca-91317.webp,32590,手動追加(公式/版をdHashで機械照合)
レシラムex,,SV11W 174/086,https://minnano-toreka.com/wp-content/uploads/2026/09/SV11W-174-086_minnanotoreca-585221.webp,32591,手動追加(公式/版をdHashで機械照合)
ピカチュウ C: マスターボールミラー (マスボピカチュウ),,SV2a 025/165,https://minnano-toreka.com/wp-content/uploads/2026/09/SV2a-025-165_minnanotoreca-128147-1.webp,32593,手動追加(DOPAリライト第3陣・スニダン/目視で版を確認)
ロロノア・ゾロ,,OP01-001,https://minnano-toreka.com/wp-content/uploads/2026/09/OP01-001_minnanotoreca-171996-cr.webp,32596,手動追加(DOPAリライト第3陣・カードラッシュ/目視で版を確認)
モンキー・D・ルフィ,,OP09-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-119_minnanotoreca-744321-cr.webp,32597,手動追加(DOPAリライト第3陣・カードラッシュ/目視で版を確認)
ロロノア・ゾロ,,OP01-025,https://minnano-toreka.com/wp-content/uploads/2026/09/OP01-025_minnanotoreca-106779.webp,32604,第4陣
カイドウ,,OP01-094,https://minnano-toreka.com/wp-content/uploads/2026/09/OP01-094_minnanotoreca-138425.webp,32605,第4陣
